work_year,salary,remote_ratio,experience_level,employment_type,job_title,employee_residence,company_location,company_size,prediction
2023,510000,0,MI,FT,Data Scientist,HK,HK,L,45203.6
2023,186000,0,SE,FT,Data Scientist,US,US,M,185993.0
2023,130000,0,MI,FT,Data Engineer,US,US,M,130000.0
2023,160000,0,SE,FT,Data Engineer,US,US,M,160000.0
2023,134000,0,SE,FT,Data Scientist,US,US,M,133999.0
2023,153600,100,SE,FT,Data Engineer,US,US,M,153600.0
2022,110000,100,SE,FT,Data Engineer,US,US,M,110000.0
2022,150000,100,SE,FT,Applied Machine Learning Scientist,US,US,M,150000.0
2021,59000,100,MI,PT,Data Engineer,NL,NL,L,67918.66
2023,203500,0,SE,FT,Data Scientist,US,US,M,203450.0
2021,900000,100,EN,FT,Machine Learning Research Engineer,IN,IN,M,11573.31
2022,150000,100,SE,FT,Machine Learning Engineer,US,US,L,150000.0
2022,140400,0,SE,FT,Data Scientist,US,US,M,140383.0
2022,100000,100,SE,FT,Data Engineer,US,US,M,100000.0
2022,105120,0,MI,FT,Data Engineer,LT,LT,M,108401.86
2023,100000,50,SE,FT,Azure Data Engineer,NL,NL,L,99182.86
2021,60000,50,EN,FT,Research Scientist,GB,GB,L,79083.98
2023,156400,100,SE,FT,Data Scientist,US,US,M,156402.0
2021,120000,50,MI,FT,Cloud Data Engineer,SG,SG,L,102864.88
2023,60000,0,MI,FT,Data Analyst,HR,HR,M,69041.81
2022,85000,0,MI,FT,Data Analyst,CA,CA,M,80877.32
2023,180000,100,SE,FT,Data Architect,US,US,M,180000.0
2023,152500,0,SE,FT,Analytics Engineer,US,US,M,152505.3
2022,35000,0,SE,FT,Data Analyst,ES,ES,M,36960.15
2022,150000,0,SE,FT,Data Engineer,US,US,M,150000.0
2022,192000,100,SE,FT,Applied Scientist,US,US,M,192092.71
2022,165000,100,SE,FT,Data Scientist,US,US,M,165000.0
2023,61200,0,MI,FT,Data Analyst,US,US,M,61735.25
2022,66000,100,SE,FT,Data Operations Analyst,US,US,M,66201.79
2022,161000,100,SE,FT,Data Engineer,US,US,M,161100.62
2022,191475,100,SE,FT,Data Scientist,US,US,M,191475.0
2022,124000,0,MI,FT,Data Analyst,US,US,M,123975.0
2023,81666,100,SE,FT,Data Analyst,US,US,M,81666.0
2023,145000,100,SE,FT,Data Analyst,US,US,M,145000.0
2022,100000,0,MI,FT,Data Analyst,CA,CA,M,96566.74
2023,110000,100,SE,FT,Data Scientist,US,US,M,110000.0
2020,45000,0,EN,FT,Data Scientist,FR,FR,S,50954.69
2022,102640,100,MI,FT,Data Analyst,US,US,M,102635.6
2022,144000,0,SE,FT,Machine Learning Scientist,US,US,M,143998.6
2022,105000,100,SE,FT,Data Engineer,US,US,M,105000.0
2023,121904,0,SE,FT,Data Analyst,US,US,M,121936.64
2023,207000,100,EX,FT,Data Engineer,US,US,M,206931.14
2023,140800,0,SE,FT,Data Scientist,US,US,M,140782.5
2022,197430,100,SE,FT,Data Engineer,US,US,M,197218.6
2022,193900,0,SE,FT,Machine Learning Engineer,US,US,M,193907.0
2022,80000,0,EX,FT,Research Scientist,NL,NL,L,81462.56
2022,160000,0,EN,FT,Data Engineer,US,US,M,160000.0
2022,100000,100,MI,FT,Data Operations Engineer,US,US,M,100000.0
2023,100000,0,MI,FT,AI Developer,FI,FI,M,85834.49
2023,169000,0,SE,FT,Data Analyst,US,US,M,169000.0
2021,85000,100,EN,FT,Machine Learning Engineer,NL,DE,S,86073.21
2023,136000,0,SE,FT,Data Scientist,US,US,M,136000.0
2022,127000,0,SE,FT,Data Analyst,US,US,M,126991.5
2022,113000,0,SE,FT,Data Engineer,US,US,L,112999.0
2023,165000,0,MI,FT,Analytics Engineer,US,US,M,165000.0
2022,95550,0,SE,FT,Data Scientist,US,US,M,95436.92
2022,191475,0,SE,FT,Data Scientist,US,US,M,191495.6
2022,150000,100,SE,FT,Research Scientist,US,US,M,150000.0
2023,252000,0,SE,FT,Data Engineer,US,US,M,252000.0
2023,183000,100,SE,FT,Data Scientist,US,US,M,182953.2
2023,165000,100,SE,FT,Data Analyst,US,US,M,165000.0
2023,168000,100,SE,FT,Data Scientist,US,US,M,168015.4
2023,142200,0,SE,FT,Machine Learning Engineer,US,US,M,142200.0
2023,133300,0,SE,FT,Data Engineer,US,US,M,133287.0
2022,150000,100,EN,FT,Computer Vision Software Engineer,AU,AU,S,145478.86
2023,184000,100,SE,FT,Machine Learning Engineer,US,US,M,183996.0
2023,36000,100,MI,FT,Machine Learning Engineer,MX,MX,S,36768.06
2023,110000,100,SE,FT,ML Engineer,CA,CA,M,108720.01
2022,84000,0,SE,FT,Analytics Engineer,GB,GB,M,103257.16
2023,170550,100,SE,FT,Data Analyst,US,US,M,170569.0
2023,129300,0,SE,FT,Data Engineer,US,US,M,129300.0
2022,36000,0,SE,FT,Data Scientist,ES,ES,M,37832.07
2023,163625,100,SE,FT,Data Engineer,US,US,M,163696.0
2023,105000,0,SE,FT,Data Analytics Specialist,US,US,M,105000.0
2023,165000,0,SE,FT,Data Engineer,US,US,M,165000.0
2022,115500,100,MI,FT,Data Analyst,US,US,M,115462.52
2021,12000,50,MI,FL,Machine Learning Scientist,PK,PK,M,12022.77
2022,63000,100,SE,FT,Data Engineer,US,US,M,63009.0
2022,110000,100,EX,FT,Data Analyst,US,US,M,110000.0
2023,200000,100,SE,FT,Machine Learning Engineer,US,US,M,200000.0
2023,87000,100,SE,FT,Data Analyst,US,US,M,87106.8
2021,39600,100,MI,FT,Data Scientist,ES,ES,M,46049.89
2022,113900,100,SE,FT,Data Architect,US,US,M,113897.0
2023,150000,0,MI,FT,Data Engineer,US,US,M,150000.0
2022,90320,100,SE,FT,Data Analyst,US,US,M,90313.6
2022,180000,100,SE,FT,Machine Learning Engineer,US,US,M,180000.0
2022,141525,100,SE,FT,Data Scientist,US,US,M,141525.0
2023,40000,50,MI,FT,Data Scientist,FR,FR,L,40572.46
2023,167500,0,MI,FT,Data Architect,US,US,M,167506.0
2022,131300,100,SE,FT,Data Architect,US,US,L,131292.0
2022,108000,50,MI,FT,Data Scientist,US,US,L,108010.0
2023,145000,0,EX,FT,Data Scientist,US,US,M,145000.0
2021,120000,50,SE,FT,Machine Learning Scientist,US,US,S,119583.06
2023,105200,0,SE,FT,Data Scientist,US,US,M,105206.0
2022,165000,50,SE,FT,Data Science Lead,US,US,S,163793.65
2023,139500,0,SE,FT,Data Engineer,US,US,M,139501.0
2023,180000,0,SE,FT,Applied Scientist,US,US,M,180000.0
2020,130800,100,MI,FT,Data Engineer,ES,US,M,131122.16
2023,138000,100,SE,FT,Data Architect,GB,GB,M,140861.62
2023,50000,0,MI,FT,Machine Learning Engineer,AM,AM,S,50410.03
2022,110000,0,SE,FT,Data Scientist,US,US,M,110000.0
2022,170000,100,SE,FT,Data Analyst,US,US,M,170021.5
2023,62000,100,MI,FT,Machine Learning Engineer,GB,GB,M,74209.14
2022,60000,100,MI,FT,Data Operations Engineer,US,US,M,60026.0
2022,130000,100,SE,FT,Data Scientist,US,US,M,130000.0
2022,119300,0,SE,FT,Data Scientist,US,US,L,119298.0
2021,55000,100,SE,FT,AI Scientist,ES,ES,L,57048.47
2023,172200,0,SE,FT,Machine Learning Engineer,US,US,M,172200.0
2023,100000,0,EX,FT,Data Scientist,US,US,M,100000.0
2022,230000,100,SE,FT,Data Engineer,US,US,M,230000.0
2022,100000,100,EN,FT,Data Scientist,US,US,M,100000.0
2023,110000,100,MI,FT,Machine Learning Engineer,US,US,L,110000.0
2023,180000,100,SE,FT,Data Architect,US,US,M,180000.0
2023,160000,100,MI,FT,Data Infrastructure Engineer,US,US,M,160000.0
2022,170000,100,SE,FT,Data Scientist,US,US,M,170000.0
2023,80000,100,MI,FT,Applied Data Scientist,KE,KE,S,80441.18
2022,92000,100,SE,FT,Data Scientist,US,US,L,92188.68
2023,105500,0,MI,FT,Data Analyst,US,US,M,105494.0
2022,100000,100,MI,FT,Machine Learning Developer,CA,CA,M,79810.24
2022,60000,0,SE,FT,Data Engineer,GB,GB,M,74031.16
2023,165000,100,SE,FT,Data Analyst,US,US,M,165000.0
2022,210000,100,SE,FT,Machine Learning Engineer,US,US,M,210000.0
2023,94000,100,SE,FT,Data Engineer,CA,CA,M,90688.54
2022,243225,100,SE,FT,Data Science Manager,US,US,M,243188.47
2023,120000,0,MI,FT,Data Engineer,US,US,M,120000.0
2023,191765,0,SE,FT,Data Science Manager,US,US,M,191819.35
2022,120000,100,MI,FT,Machine Learning Engineer,US,US,S,121093.92
2022,135000,100,SE,FT,Data Architect,US,US,M,135000.0
2023,239000,100,EX,FT,Data Engineer,US,US,M,239000.0
2022,250000,0,SE,FT,ETL Developer,US,US,M,250000.0
2022,84000,100,MI,FT,Data Scientist,BR,BR,M,68659.07
2023,150000,100,SE,FT,Analytics Engineer,US,US,M,150000.0
2023,130000,100,SE,FT,Data Scientist,US,US,M,130000.0
2023,175000,100,SE,FT,Data Scientist,US,US,M,175000.0
2021,95000,100,MI,FT,Data Scientist,CA,CA,L,81384.94
2022,168400,0,SE,FT,Data Engineer,US,US,M,168352.8
2022,40000,0,SE,FT,Data Engineer,PT,PT,M,41543.48
2023,90000,100,SE,FT,Data Analyst,US,US,M,90000.0
2023,64000,100,SE,FT,Data Analyst,US,US,M,63872.8
2023,160000,100,SE,FT,Data Analyst,US,US,M,160000.0
2022,1100000,100,MI,FT,Data Scientist,IN,IN,L,13824.11
2022,129000,0,SE,FT,Data Analyst,US,US,M,128972.5
2023,152000,0,SE,FT,Data Scientist,US,US,M,151996.0
2022,129300,0,SE,FT,Data Engineer,US,US,M,129300.0
2022,178750,0,SE,FT,Data Engineer,US,US,M,178715.65
2023,80000,100,SE,FT,Data Analyst,US,US,S,80000.0
2021,180000,100,MI,FT,Machine Learning Engineer,PL,PL,L,71811.97
2023,175000,100,MI,FT,Machine Learning Engineer,US,US,M,175000.0
2023,182200,100,SE,FT,Data Scientist,US,US,M,182095.3
2023,83500,100,MI,FT,Data Analyst,US,US,M,83382.4
2023,100000,0,MI,FT,Data Scientist,US,US,M,100000.0
2023,204620,0,EN,FT,Applied Scientist,US,US,L,204578.0
2022,104000,100,SE,FT,Data Scientist,US,US,M,104000.0
2022,180000,0,SE,FT,Data Scientist,US,US,M,180000.0
2022,150000,0,MI,FT,Data Analyst,US,US,M,150000.0
2023,187500,0,MI,FT,Data Scientist,US,US,M,187527.5
2023,65000,0,EN,FT,Data Engineer,US,US,M,65000.0
2023,160000,0,SE,FT,Data Engineer,US,US,M,160000.0
2022,100000,0,SE,FT,Data Engineer,US,US,M,100000.0
2023,252000,0,SE,FT,Data Engineer,US,US,M,252000.0
2022,210000,100,SE,FT,Machine Learning Engineer,US,US,M,210000.0
2023,117100,100,SE,FT,Analytics Engineer,US,US,M,117014.8
2023,81500,0,SE,FT,Data Engineer,US,US,M,81500.0
2022,81666,100,SE,FT,Data Analyst,US,US,M,81666.0
2022,195000,100,SE,FT,Data Engineer,US,US,M,195011.5
2023,122700,0,SE,FT,Machine Learning Engineer,US,US,M,122699.0
2022,210000,100,SE,FT,Data Scientist,US,US,M,210000.0
2021,125000,100,EN,FT,Machine Learning Engineer,US,US,S,124797.03
2022,200000,100,SE,FT,Head of Data,MY,US,M,200000.0
2022,180000,0,SE,FT,Data Engineer,US,US,M,180000.0
2023,213660,0,EN,FT,Applied Scientist,US,US,L,213707.6
2023,225000,0,SE,FT,Data Lead,US,US,M,225000.0
2023,139500,0,SE,FT,Machine Learning Engineer,US,US,M,139500.0
2021,24000,100,SE,FT,Computer Vision Engineer,BR,BR,M,23252.0
2023,81500,0,SE,FT,Data Engineer,US,US,M,81500.0
2023,285800,100,SE,FT,Data Scientist,US,US,M,285098.96
2022,135000,100,SE,FT,Data Engineer,US,US,M,135000.0
2022,179400,100,SE,FT,Data Scientist,US,US,M,179418.6
2023,140000,0,MI,FT,Data Analytics Manager,US,US,M,140000.0
2022,140400,0,SE,FT,Data Scientist,US,US,L,140388.0
2022,243000,100,SE,FT,ML Engineer,US,US,M,243041.26
2022,150000,0,SE,FT,Data Engineer,US,US,M,150000.0
2022,100000,100,SE,FT,Data Engineer,US,US,M,100000.0
2022,150000,0,MI,FT,Data Scientist,US,US,M,150000.0
2022,247500,0,SE,FT,Machine Learning Engineer,US,US,M,247512.0
2022,126000,100,SE,FT,Data Engineer,US,US,M,126000.0
2022,106500,0,SE,FT,Data Engineer,US,US,M,106486.8
2021,3000000,50,SE,FT,Lead Data Scientist,IN,IN,L,41843.91
2022,144200,100,MI,FT,Data Scientist,US,US,M,144148.6
2023,160000,0,EN,FT,Data Engineer,US,US,M,160000.0
2023,106020,0,SE,FT,Data Analyst,US,US,M,106021.8
2020,100000,100,EN,CT,Business Data Analyst,US,US,L,100000.0
2023,80000,0,MI,FT,Data Analyst,US,US,M,80000.0
2023,132300,0,SE,FT,Data Engineer,US,US,M,132301.0
2023,129300,0,SE,FT,Data Scientist,US,US,M,129300.0
2021,250000,0,EX,FT,Director of Data Science,US,US,L,250000.0
2022,177500,100,SE,FT,Data Scientist,US,US,M,177436.5
2022,145000,100,SE,FT,Data Engineer,US,US,M,145000.0
2023,121700,0,SE,FT,Data Analyst,US,US,M,121682.0
2022,82900,0,MI,FT,Data Engineer,US,US,M,82919.6
2023,165000,0,MI,FT,Data Scientist,US,US,M,165000.0
2023,160000,100,SE,FT,Data Engineer,US,US,M,160000.0
2022,181940,0,SE,FT,Data Engineer,US,US,M,181955.2
2023,106800,100,SE,FT,Data Engineer,US,US,M,106804.0
2023,133300,0,SE,FT,Data Engineer,US,US,M,133287.0
2023,45000,0,MI,FT,Data Analyst,GB,GB,M,54725.3
2023,205600,0,SE,FT,Data Engineer,US,US,L,205597.0
2022,55000,0,MI,FT,Data Scientist,GB,GB,M,67811.33
2022,81000,100,SE,FT,Data Operations Analyst,US,US,M,81274.1
2022,150000,100,SE,FT,Data Analyst,US,US,M,150000.0
2023,272550,0,SE,FT,Data Scientist,US,US,M,272345.27
2022,133000,0,SE,FT,Data Analytics Manager,NL,NL,L,133095.0
2022,50000,0,MI,FT,ETL Developer,GR,GR,M,52194.92
2022,81666,100,SE,FT,Data Analyst,US,US,M,81666.0
2022,120000,0,SE,FT,Data Science Manager,US,US,M,120000.0
2022,80000,0,SE,FT,Data Engineer,US,US,L,80000.0
2023,130000,0,SE,FT,Data Engineer,US,US,M,130000.0
2023,124740,0,SE,FT,Data Engineer,US,US,M,124713.6
2023,258000,0,SE,FT,Data Scientist,CA,CA,M,257987.5
2023,108000,100,SE,FT,Data Analyst,US,US,M,107996.0
2023,1060000,50,EN,FT,Data Scientist,IN,IN,S,13079.55
2020,40000,100,SE,FT,Machine Learning Engineer,HR,HR,S,45234.83
2022,210000,100,SE,FT,Data Engineer,US,US,M,210009.14
2022,12000,100,EN,PT,BI Analyst,MX,US,L,12010.0
2021,159500,50,SE,FT,Data Science Engineer,CA,CA,L,136789.92
2023,258750,0,EX,FT,Data Scientist,US,US,M,258715.0
2023,113000,0,SE,FT,Data Scientist,CA,CA,M,113250.53
2022,120000,0,SE,FT,Data Scientist,US,US,M,120000.0
2022,218000,0,SE,FT,Data Scientist,US,US,M,217831.0
2023,125000,0,MI,FT,Data Analyst,US,US,M,125000.0
2022,200000,100,MI,FT,AI Scientist,US,US,M,200000.0
2022,205000,100,SE,FT,Applied Scientist,US,US,M,205000.0
2022,135000,0,EN,FT,Data Engineer,US,US,M,135000.0
2022,142200,0,SE,FT,Machine Learning Engineer,US,US,M,142200.0
2021,168000,0,SE,FT,Director of Data Science,JP,JP,S,161334.17
2022,192000,0,SE,FT,Machine Learning Engineer,US,US,M,192015.79
2022,120000,0,SE,FT,Data Engineer,US,US,M,120000.0
2023,80000,100,SE,FT,Data Analyst,US,US,M,80000.0
2023,184000,100,SE,FT,Data Infrastructure Engineer,US,US,M,183996.0
2023,240000,100,SE,FT,Data Scientist,US,US,M,239967.24
2023,135000,0,MI,FT,Data Manager,US,US,M,135000.0
2023,95000,0,SE,FT,Data Analyst,US,US,M,95000.0
2023,160000,0,EN,FT,BI Developer,US,US,M,160000.0
2023,90000,100,SE,FT,Applied Machine Learning Scientist,US,US,L,90000.0
2023,280000,0,SE,FT,Computer Vision Engineer,US,US,M,280133.4
2022,150000,100,SE,FT,Machine Learning Engineer,US,US,M,150000.0
2023,116000,0,MI,FT,Data Analyst,US,US,M,115998.02
2023,104000,100,SE,FT,Data Scientist,US,US,M,104000.0
2023,100000,0,MI,FT,Data Engineer,US,US,M,100000.0
2023,129000,0,SE,FT,Data Engineer,US,US,M,129000.0
2023,174500,0,SE,FT,Data Architect,US,US,M,174500.0
2022,248400,100,SE,FT,Machine Learning Software Engineer,CA,CA,M,248276.0
2023,275300,100,SE,FT,Data Scientist,US,US,M,275300.0
2022,65000,0,SE,FT,Data Engineer,ES,ES,M,68126.04
2022,85000,0,MI,FT,Analytics Engineer,GB,GB,M,104701.0
2022,205300,0,SE,FT,Data Scientist,US,US,M,205270.0
2020,260000,0,SE,FT,Machine Learning Scientist,JP,JP,S,260000.0
2021,180000,50,EN,PT,Computer Vision Engineer,DK,DK,S,98386.42
2023,172200,0,SE,FT,Machine Learning Engineer,US,US,M,172200.0
2022,70000,0,MI,FT,Data Engineer,US,US,M,70035.46
2022,80000,50,SE,FT,Machine Learning Engineer,FR,FR,L,83541.13
2023,75000,100,SE,FT,Data Engineer,US,US,M,75000.0
2023,94000,0,SE,FT,Data Analyst,US,US,M,93990.18
2022,157000,100,MI,FT,Applied Data Scientist,US,US,L,156546.52
2022,98000,0,MI,FT,Data Manager,US,US,M,98128.0
2021,115000,50,MI,FT,Data Scientist,US,US,L,115058.28
2022,100000,0,SE,FT,Data Analyst,US,US,M,100000.0
2022,129300,0,SE,FT,Data Scientist,US,US,M,129300.0
2023,182500,0,MI,FT,Data Analyst,US,US,M,182554.4
2023,275300,100,SE,FT,Data Scientist,US,US,M,275300.0
2023,153088,100,SE,FT,Machine Learning Engineer,US,US,M,153062.24
2023,92700,100,EN,FT,Data Engineer,US,US,M,92724.5
2022,95000,0,SE,FT,Data Analyst,US,US,M,95000.0
2023,70000,100,EN,FT,Data Analyst,US,US,M,70009.07
2022,65000,100,EN,FT,Data Engineer,US,US,S,65062.93
2022,109000,0,MI,FT,Data Analyst,US,US,M,108996.0
2021,110000,100,MI,FT,Data Engineer,US,US,L,109727.38
2022,100000,0,SE,FT,Data Engineer,US,US,M,100000.0
2022,50000,100,MI,FT,Data Scientist,FR,FR,M,52722.4
2023,206000,0,MI,FT,Data Analyst,US,US,M,205998.19
2023,113900,100,SE,FT,Data Architect,US,US,M,113889.5
2022,191200,0,SE,FT,Data Engineer,US,US,M,191205.5
2023,284310,0,SE,FT,Machine Learning Engineer,US,US,M,284278.1
2023,135000,0,SE,FT,ML Engineer,US,US,M,135000.0
2023,108000,0,SE,FT,AI Developer,UA,UA,M,108478.31
2023,80000,100,SE,FT,Data Analyst,US,US,M,80000.0
2022,30000,100,MI,FT,Data Analyst,ES,ES,M,31521.81
2021,93000,100,MI,FT,Data Analyst,US,US,L,91601.1
2022,123400,0,SE,FT,Data Scientist,US,US,M,123443.0
2022,50000,100,EN,FT,Data Analyst,AR,AR,L,50000.86
2022,126500,100,SE,FT,Data Analyst,US,US,M,126470.04
2023,109400,0,SE,FT,Machine Learning Engineer,US,US,M,109392.0
2023,63000,100,SE,FT,Data Engineer,US,US,M,63019.0
2023,230000,0,SE,FT,Data Engineer,US,US,M,230000.0
2022,74540,0,EN,FT,Data Scientist,US,US,M,74551.51
2023,132000,100,SE,FT,Data Scientist,US,US,M,132009.2
2022,110000,0,SE,FT,Data Engineer,US,US,M,110000.0
2023,275300,100,SE,FT,Data Scientist,US,US,M,275300.0
2022,149000,100,SE,FT,Data Analyst,US,US,M,149012.92
2023,109400,0,SE,FT,Data Engineer,US,US,M,109392.0
2023,183310,0,MI,FT,Data Scientist,US,US,M,183339.6
2023,158000,100,SE,FT,Machine Learning Engineer,CA,CA,M,153265.19
2023,100000,100,MI,FT,Software Data Engineer,SG,SG,L,83763.0
2022,50000,100,EN,FT,3D Computer Vision Researcher,US,CR,S,50004.32
2022,66100,100,MI,FT,Data Analyst,US,US,M,66275.97
2022,140000,100,SE,FT,Data Engineer,US,US,M,140000.0
2022,173000,100,SE,FT,Data Scientist,US,US,M,173000.0
2022,194000,100,SE,FT,Data Engineer,US,US,M,193992.5
2022,180000,100,SE,FT,Data Architect,US,US,M,180000.0
2022,160000,0,EN,FT,Data Engineer,US,US,M,160000.0
2022,1800000,50,EN,FT,Data Scientist,IN,IN,M,23106.57
2023,145000,0,SE,FT,Research Scientist,US,US,M,145000.0
2022,80000,100,MI,FT,Data Engineer,US,US,M,80000.0
2022,210000,100,SE,FT,Data Scientist,US,US,M,210000.0
2022,110600,0,SE,FT,Data Analyst,US,US,M,110600.0
2022,142127,100,SE,FT,Data Engineer,US,US,M,142114.53
2021,30400000,100,MI,FT,Data Scientist,CL,CL,L,47883.1
2023,38000,0,SE,FT,Data Analyst,ES,ES,M,40575.2
2022,141525,100,SE,FT,Applied Scientist,US,US,M,141524.5
2023,70000,0,SE,FT,Data Scientist,US,US,M,70038.14
2023,184000,0,SE,FT,Machine Learning Engineer,US,US,M,184009.0
2023,160000,100,SE,FT,Data Engineer,US,US,M,160000.0
2021,90000,100,MI,FT,Data Engineer,US,US,L,89857.74
2023,205600,100,SE,FT,Data Engineer,US,US,M,205626.6
2023,235000,0,SE,FT,Computer Vision Engineer,US,US,M,235000.0
2022,167000,100,SE,FT,Data Scientist,US,US,M,166997.8
2022,63000,100,SE,FT,Data Engineer,US,US,M,63009.0
2023,109000,0,SE,FT,Data Engineer,US,US,M,109008.0
2022,260000,0,MI,FT,Data Engineer,US,US,M,259987.5
2023,188800,100,SE,FT,Machine Learning Engineer,US,US,M,188803.2
2022,116150,100,SE,FT,Data Analyst,US,US,M,116119.34
2023,70000,100,SE,FT,Head of Data,PT,PT,L,74425.02
2022,115000,0,SE,FT,Data Engineer,US,US,M,115000.0
2022,156400,0,SE,FT,Data Scientist,US,US,M,156406.0
2021,42000,50,EN,FT,Data Scientist,FR,FR,M,49780.82
2022,150000,0,MI,FT,Data Analyst,US,US,M,150000.0
2023,165000,100,SE,FT,Data Scientist,US,US,M,165000.0
2023,148750,0,SE,FT,Data Scientist,US,US,M,148747.8
2022,85000,0,MI,FT,Data Analyst,US,US,M,85000.0
2023,156000,100,SE,FT,Data Scientist,US,US,M,156109.5
2023,106800,0,SE,FT,Data Analyst,US,US,M,106800.0
2022,145000,0,SE,FT,Data Engineer,US,US,M,145000.0
2023,225000,0,SE,FT,Data Engineer,US,US,M,225000.0
2023,223800,0,SE,FT,Data Scientist,US,US,M,223804.9
2022,132100,100,SE,FT,Data Engineer,US,US,L,132093.2
2023,87000,0,SE,FT,Analytics Engineer,US,US,M,87213.6
2022,140000,100,SE,FT,Data Scientist,US,US,M,140000.0
2022,120000,0,SE,FT,Data Engineer,US,US,M,120000.0
2022,107000,100,MI,FT,Data Scientist,GB,GB,M,129818.51
2023,182000,0,SE,FT,Data Scientist,US,US,M,181961.0
2023,142200,0,SE,FT,Machine Learning Engineer,US,US,M,142200.0
2022,62500,50,MI,FT,Data Engineer,DE,DE,S,65580.39
2022,124190,100,SE,FT,Data Analyst,US,US,M,124194.38
2022,180000,0,SE,FT,Data Scientist,US,US,L,180000.0
2020,106000,100,MI,FT,Data Engineer,US,US,L,106006.0
2022,96000,0,MI,FT,Data Scientist,GB,GB,M,115923.13
2023,252000,0,SE,FT,Data Engineer,US,US,M,252000.0
2023,188500,100,SE,FT,Data Architect,US,US,M,188582.4
2022,150000,100,SE,FT,Data Scientist,US,US,M,150000.0
2023,138900,0,SE,FT,Data Analyst,US,US,M,138921.26
2023,250000,100,SE,FT,Data Analyst,US,US,M,250000.0
2023,115000,0,SE,FT,Data Engineer,US,US,M,115000.0
2022,35000,0,SE,FT,Data Analyst,ES,ES,M,36960.15
2023,65000,100,MI,FT,Data Analyst,US,US,M,65000.0
2022,35000,0,SE,FT,Data Engineer,ES,ES,M,36815.04
2022,129300,0,SE,FT,Data Scientist,US,US,M,129300.0
2022,120000,100,EN,FT,Research Scientist,US,US,L,118750.84
2023,135000,0,EN,FT,Data Engineer,US,US,M,135000.0
2022,95000,0,MI,FT,Machine Learning Engineer,GB,GB,M,113883.41
2023,140000,100,SE,FT,Cloud Database Engineer,US,US,M,140000.0
2023,105700,0,SE,FT,Data Engineer,US,US,L,105691.0
2023,175000,100,SE,FT,Data Scientist,US,US,M,175000.0
2023,38000,100,MI,FT,Machine Learning Engineer,GB,GB,M,46493.03
2021,31000,50,EN,FT,Data Scientist,FR,FR,L,34644.52
2022,215000,0,SE,FT,Data Scientist,US,US,L,215074.5
2023,204500,0,SE,FT,Machine Learning Engineer,US,US,M,204500.0
2021,1335000,100,EN,FT,AI Scientist,IN,AS,S,18849.2
2023,145000,0,SE,FT,Data Analyst,US,US,M,145000.0
2020,95000,0,MI,FT,Business Data Analyst,US,US,M,94615.48
2023,221000,0,SE,FT,Data Engineer,US,US,M,221009.6
2022,85000,100,SE,FT,Data Engineer,US,US,M,85005.0
2022,185100,100,SE,FT,Data Scientist,US,US,M,185062.0
2023,155000,0,MI,FT,Data Analytics Manager,US,US,M,155000.0
2023,85000,0,MI,FT,Research Scientist,US,US,M,85000.0
2022,144000,100,SE,FT,Data Scientist,US,US,M,144000.0
2022,170000,100,SE,FT,Data Engineer,US,US,M,170000.0
2023,105200,0,SE,FT,Data Manager,US,US,M,105202.0
2022,144100,0,MI,FT,Data Analyst,US,US,M,144092.95
2022,80000,100,SE,FT,Data Analyst,US,US,M,80000.0
2023,65000,0,SE,FT,Data Manager,CO,CO,M,65773.96
2023,60000,100,EN,FT,Data Analyst,US,US,M,60018.0
2023,115000,100,SE,FT,Data Architect,US,US,M,115000.0
2022,120000,100,MI,FT,Data Scientist,US,US,M,120000.0
2022,116000,100,SE,FT,Data Analyst,US,US,M,115991.76
2022,297500,100,EX,FT,Data Engineer,US,US,M,297536.0
2022,100000,100,SE,FT,Data Analyst,US,US,M,100000.0
2022,45000,0,SE,FT,Data Scientist,ES,ES,M,47290.09
2023,225000,100,SE,FT,Data Engineer,US,US,M,225000.0
2022,153000,100,SE,FT,Data Scientist,US,US,M,153000.9
2023,250000,0,SE,FT,Research Scientist,US,US,M,250000.0
2023,130000,100,SE,FT,Data Analyst,US,US,M,130000.0
2023,106800,0,SE,FT,Data Analyst,US,US,M,106800.0
2021,140000,100,MI,FT,Data Engineer,US,US,L,140009.0
2022,152000,0,SE,FT,Analytics Engineer,US,US,M,152001.8
2023,161800,0,SE,FT,Data Engineer,US,US,M,161842.0
2022,30000,50,EN,FT,Data Scientist,ES,ES,M,32171.01
2022,169000,0,SE,FT,Data Analyst,US,US,M,169000.0
2023,187000,0,SE,FT,Data Analyst,US,US,M,187076.0
2023,140000,0,SE,FT,Data Scientist,US,US,M,140000.0
2022,185900,0,SE,FT,Data Scientist,US,US,M,185900.0
2022,110600,0,SE,FT,Data Analyst,US,US,M,110600.0
2022,15000,0,EN,FT,Data Analyst,ID,ID,L,14999.84
2022,220110,100,SE,FT,Data Engineer,US,US,M,220091.3
2023,90000,0,EN,FT,Data Engineer,US,US,M,90000.0
2022,78000,100,MI,FT,Analytics Engineer,BR,BR,M,77568.06
2023,160000,100,SE,FT,Data Scientist,US,US,M,160000.0
2022,191475,100,SE,FT,Data Scientist,US,US,M,191475.0
2022,131300,100,SE,FT,Machine Learning Engineer,US,US,L,131292.0
2023,186000,100,SE,FT,Machine Learning Engineer,US,US,M,186003.0
2023,95000,100,MI,FT,Data Engineer,GB,GB,L,113545.58
2022,185000,100,SE,FT,Data Engineer,US,US,M,185000.0
